artist_id|artist_name|artist_popularity|artist_genres|artist_added_ts
27a0GiCba9K9lnkKidroFU|Canned Heat|54|blues, blues rock, classic rock, country rock, electric blues, folk rock, psychedelic rock|2023-07-13, 13:43:40
5z348neb55aaKyQhVgqEvS|The Dawn|36||2023-07-13, 13:43:42
1T3RPiMH711kvoXymKUTYH|Sugarloaf|33|bubblegum pop, country rock, psychedelic rock, southern rock|2023-07-13, 13:43:43
1FcB6xMihhP9Hb6AdGVbWe|Desmond Dekker|51|jamaican ska, reggae, rocksteady, ska, ska revival|2023-07-13, 13:43:43
0HoeFrrKutiio4HJtXN0Sn|Christie|32|bubblegum pop, classic uk pop|2023-07-13, 13:43:45
4hLuzWVCPicO3nNHfFvB32|Eddie Holman|34|classic soul, northern soul, philly soul, southern soul|2023-07-13, 13:43:45
7fIvjotigTGWqjIz6EP1i4|Four Tops|61|classic soul, disco, motown, quiet storm, soul|2023-07-13, 13:43:46
5BcZ22XONcRoLhTbZRuME1|The Moody Blues|56|album rock, art rock, british invasion, classic rock, country rock, flute rock, folk rock, heartland rock, mellow gold, progressive rock, rock, singer-songwriter, soft rock, symphonic rock|2023-07-13, 13:43:47
59hLmB5DrdihCYtNeFeW1U|Glen Campbell|60|adult standards, arkansas country, classic country pop, folk rock, mellow gold, nashville sound, singer-songwriter, soft rock|2023-07-13, 13:43:48
3RwQ26hR2tJtA8F9p2n7jG|The Temptations|65|memphis soul, motown, soul|2023-07-13, 13:43:49
7lffJlv0nRl0sIsHDmo0SB|Clarence Carter|44|soul, southern soul|2023-07-13, 13:43:49
76agLI5oSCFbmZnBqKcBJd|Tyrone Davis|39|chicago soul, southern soul|2023-07-13, 13:43:50
